institution_name,prov_terr,record_id,member,url,Program,Credential,Campus,Duration,Description,WIL
Yukon College,Yukon,56824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.yukonu.ca/programs/english-as-a-second-language,English as a Second Language,Notice of Completion,Whitehorse (Ayamdigut),"","Open to both international and domestic students, Intermediate and Advanced ESL prepare non-native English speakers for further academic study. The courses offer instruction and practice in reading, composition and academic study.

Intermediate ESL

For information on Intermediate ESL, please contact our International Education Coordinator or download the ESL program brochure

Advanced ESL

Students completing ESL 050 (Advanced ESL) for credit receive the equivalent of ENGL 050: Essay Writing Skills.

Students wanting full-time study will be able to take Advanced ESL 050 as part of one of the following options:

Students with a Canadian Language Benchmark Placement Test (CLBPT) of 7 or higher or who are eligible for Advanced ESL may take Advanced ESL (ESL 050) + 2 other University courses for credit or audit.
	Students with a CLBPT of 6 may take Advanced ESL (ESL 050) + 2 Access Pathways courses OR Advanced ESL (ESL 050) + 1 Access Pathways course + 1 University course for audit.
",
Yukon College,Yukon,56824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.yukonu.ca/programs/university-access-pathways,University Access Pathways,Diploma,"Whitehorse (Ayamdigut), Online/Video",Two-year diploma,"The University Access Pathways program enables students to obtain prerequisites to meet admission requirements for programs at Yukon University and other academic institutions.

Program Advisors can assist students in the selection of University Access Pathways courses that will provide a pathway to their chosen field of study and education goals. Students may be able to take one or more courses from a future field of study while completing their program prerequisites. Students may, in addition to working on prerequisites, obtain the University Access Pathways diploma from Yukon University.

Independent study

Independent study courses may be available to students who are unable to attend University Access Pathways English and math classes.

Subject specific assistance is available through the Academic Support Centre, but note that support services are more readily available during the fall and winter terms.

Please make a program advising appointment to for more information and to determine if this is an available option.",
Yukon College,Yukon,56824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.yukonu.ca/programs/yukon-first-nations-arts,Yukon First Nations Art,Notice of Completion,Whitehorse (Ayamdigut),Ten months (three semesters),"The Yukon First Nations Arts certificate program  (YFN Arts) consists of University Access Pathway courses in English and math and art courses in contemporary and traditional Indigenous visual arts and crafts. The art modules will be delivered in a sequential manner to ensure students’ learning experiences build on and further their artistic abilities.

Throughout the program, students will learn from “hands-on” instruction in beadwork, sewing, traditional footwear, carving, and fine craftwork. The Small Craft & Product Development module will encourage students to perfect their skills, and apply them to the production of high quality traditional arts and contemporary arts and crafts. After completion of the art modules, students will have the skill set to design and produce unique, innovative products. 

The art courses will be supplemented with a career exploration module that will allow students to explore the knowledge, essential skills and personal entrepreneurial characteristics required to manage and promote their art careers.  ",
Yukon College,Yukon,56824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.yukonu.ca/programs/aviation-management,Aviation Management,Diploma,Whitehorse (Ayamdigut),Two years (full-time) or part-time ,"The Aviation Management diploma trains in a unique northern climate that offers variable topography and an increased number of acceptable flying days.

The Aviation Management diploma comprises a block transfer of pilot training credentials earned at Alkan Air (or other recognized flight school) that equals one year or 30 credits and an additional 30 credits earned at Yukon University. Students are expected to earn a commercial pilot license while concurrently earning academic credits. However, students may enter the program with some pilot training (a private pilot license for example) or a completed commercial license.

Students may complete the ground school and flight training component of the Aviation Management diploma in a flexible manner. The majority of ground school courses will occur during the evening at Alkan Air and flight training must take place during daylight hours (exception is night time flight training). Students may participate in ground school courses and flight training throughout the calendar year and these components are completed on an individualized basis. All flight training components are organized directly with Alkan Air Flight School.

In order to attain a Commercial Pilot License, students must first be endorsed with a Private Pilot License (included in the Aviation Management program). The Private Pilot License component consists of 45 flight training hours (minimum). The Commercial Pilot License component consists of 200 hours (minimum) of total flight time. The Private License and Commercial License components involve a number of Transport Canada regulated flight training courses and exams.

Students receive a Diploma of Aviation Management after successfully completing Transport Canada's Commercial Pilot License, Yukon First Nation core competency, a total of 10 academic courses (30 credits) over a two-year period, as well as a 40-hour, non-credit course in Advanced Wilderness and Remote First Aid/CPR-C.",
Yukon College,Yukon,56824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.yukonu.ca/programs/indigenous-governance,Bachelor of Arts in Indigenous Governance,Degree,"Whitehorse (Ayamdigut), Online/Video","Three-year, or AND completion of 90 credits","The Bachelor of Arts in Indigenous Governance aims to build northern leadership capacity by providing students with the values, knowledge and skills to work collaboratively within the unique governance landscape of the North.

The program focuses on northern issues, and western and Indigenous worldviews. Using an Indigenous lens, students will analyze the evolution of Indigenous self-determination and self-government in Canada and internationally, with a focus on current and past legislation and policy.

A capstone project will focus on the task of integrating theoretical knowledge of policy, governance and self-determination with practical methods in an applied and northern context.",
Yukon College,Yukon,56824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.yukonu.ca/programs/social-work,Bachelor of Social Work,Degree,Whitehorse (Ayamdigut),"Four-year, or completion of 120 credits AND Full- or part-time","Yukon University offers, in partnership with the University of Regina, a Bachelor of Social Work (BSW) degree. The University of Regina grants the degree and the program is accredited by the Canadian Association for Social Work Education.

The BSW program provides students with the opportunity to acquire the knowledge, values, and skills necessary to practice social work in northern and remote communities. Particular attention is given to the social needs, values and aspirations of Yukon First Nations.

The program uses practicums and a cultural camp to further enhance the educational experience.",Social Work Practicum I AND Social Work Practicum II
Yukon College,Yukon,56824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.yukonu.ca/programs/business-administration,Business Administration,"Degree
                Diploma
                Certificate",Whitehorse (Ayamdigut),Four-year degree AND Two-year diploma AND One-year certificate,"Our Bachelor of Business Administration (BBA) aims to create business leaders who will increase prosperity where they live and work. Many northern rural and remote areas of Canada and the world are well positioned to expand, develop and provide rich and rewarding places to live and work. This degree is created for those interested in making a difference in these places. Students will be exposed to values, knowledge and skills that prepare them to work well and collaboratively within the business and governance context of the North. 

This BBA is distinctive in that it has been created from a de-colonial perspective.  The curriculum is rooted in the context of our unique identity and circumstances that are common to much of the world.  Our identity is closely tied to the land and wilderness, and to First Nations’ traditions and cultures. However, many of the circumstances that define us are not unique to Yukon; low population densities, vast distances and remoteness, higher costs, and operating environments that often require people to work independently while fulfilling broad roles are common beyond urban centres. 

The programs balance the academic rigor necessary for baccalaureate-level training while fostering communal growth through experiential learning and creating a supportive learning community.  Graduates leave prepared to create and sustain prosperity in places and circumstances akin to ours, but wherever they call home.  

Many courses are accessible on a part-time day or evening basis in Whitehorse. Several courses are available in outlying communities through the community campus network or by distance delivery.",
Yukon College,Yukon,56824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.yukonu.ca/programs/circumpolar-studies,Circumpolar Studies,Notice of Completion,Whitehorse (Ayamdigut),"","The seven-course Circumpolar Studies Core is a signature program of the University of the Arctic (UArctic), a cooperative network of circumpolar universities, colleges, and other organizations committed to higher education and research in the North. Yukon University is a founding member of UArctic and an enthusiastic supporter of Circumpolar Studies. UArctic’s Shared Voices commitment recognizes the vital role of Indigenous peoples in the circumpolar world and in the success of UArctic.

By drawing on the shared strengths and diverse experiences of northern people, UArctic members believe we can address the unique challenges of the circumpolar region and build an institution that is truly ""In the North, For the North, By the North.""

The Circumpolar Studies Core offers students the opportunity to obtain a broad knowledge and understanding of the lands, peoples and critical issues of the circumpolar world either as a stand-alone program, as electives in a degree, in an arts or Northern Studies diploma, or alongside a Bachelor of Arts or Science completed at a UArctic-member institution. Thus, the core is flexible and will enable students to study in a discipline of their choice while ensuring a focus on circumpolar issues and affairs.

Courses are offered online, in class, and on exchange to another UArctic institution through the north2north Mobility program. Yukon University is able to assist students with close to three years of course work towards degree completion at another UArctic-member institution.

Visit the University of the Arctic website.",
Yukon College,Yukon,56824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.yukonu.ca/programs/climate-change-policy,Climate Change Policy,Graduate,Off-Campus,"One-year, part-time  AND post-degree certificate","The Post-degree Certificate in Climate Change Policy exposes students to climate change science and its links to policy and policy makers.

The program offers a combination of theory and practice and will prepare students for careers in the field of climate change at the science-policy interface in a circumpolar, Yukon-focused context.

Emphasis will be given to the importance of understanding the scientific basis behind climate change and how these changes will impact natural and socio-economic systems.

Students will gain a solid knowledge of policy design and analysis and will learn to develop effective responses to the challenges that come along with these changes.

The extent and complexity of the problems mean that there are no simple solutions. One way to respond to climate change issues is to develop policy. Policy development must include scenario-specific analysis, design, development, implementation and evaluation.

Case studies focusing on the Yukon and, where applicable, Indigenous government settings, and or Indigenous communities, will inform policy development and decision making.

The content of the Post-degree Certificate in Climate Change Policy is inter-disciplinary and will underline the importance of communication, engagement and leadership.

The program concludes with a practical component, which will explore the nature and variety of responses to the issue at a regional level, with a focus on adaptation, mitigation and policy response within a northern context.

CCPC FAQ",
Yukon College,Yukon,56824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.yukonu.ca/programs/community-education-and-employment-support,Community Education and Employment Support,Certificate,"Whitehorse (Ayamdigut), Online/Video","One-year certificate (full-time), or two years (part-time) AND (September 2019 - April 2022)","Community Education and Employment Support is a unique, culturally relevant program which will prepare you to effectively function in front-line education and employment support roles within First Nation governments and other organizations. You will gain the knowledge and skills required to support individuals through their education and employment pathways.

The program consists of 10, three-credit courses. The first course is offered face-to-face, while all other courses may be accessed through a combination of online and blended delivery options to allow students to access the program from their communities. 

Students will build knowledge and skills to apply in practice and will develop relationships with their cohort that will enhance resources, sharing, support, and mentorship opportunities.",
Yukon College,Yukon,56824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.yukonu.ca/programs/computer-support-technician,Computer Support Technician (not accepting applications),Diploma,Online/Video,One-year certificate AND Full- or part-time,"The Computer Support Technician (CST) program is offered entirely online and can be taken on a full- or part-time basis.

This program will provide students with the knowledge and skills needed to understand the theoretical and applied uses of information technology (IT) in various business applications.

The program prepares students to enter the IT workforce as computer system support technicians or network technicians.

After one year of full-time studies, students will have gained detailed knowledge of several PC applications and operating systems. They will be able to install, configure and troubleshoot software in both stand-alone and networked environments. The coursework will also provide them with customer service skills and an understanding of IT in a business environment.

Three areas of concentration are available through the certificate:

web development
	system administration
	database administration
Online course delivery

The program is delivered entirely online but is not self-paced. Course scheduling is not unlike scheduling of face-to-face courses with start and end dates. Online delivery of courses provides additional opportunities but also some challenges and does require significant commitment from students. Benefits include:

flexible hours of study
	availability of the program in remote communities
	increased course availability for those students who work part-time
Students will work mostly on their own without the benefit of the classroom experience. Students who enroll in the program must have exceptional organizational skills, be motivated to schedule their own time for study and submit assignments on time.

The courses in this program will have schedules that must be adhered to in order to complete them successfully.

Upon completion of the certificate, students will have achieved:

Competency in the use of various software applications, including operating systems.
	Basic understanding of computer networking theory.
	Competency in applying the basic technological knowledge and skills to plan, implement and maintain a network.
	Basic understanding of business functions as they relate to information technology professionals.
	Competency in public and customer relations skills.
	Concrete knowledge and practice in installing, diagnosing and maintaining computer hardware.
	Skills and knowledge to write various industry certification examinations, such as Cisco IT Essentials, CompTIA A+ and CompTIA Networks+.
	Foundational skills in programming and scripting.
	Basic website development and mark-up language programming skills.
	Ability to work successfully as part of a team to complete a project; configure basic web; demonstrate familiarity with web standards; demonstrate effective problem definition and solving within a good customer service context.
	Ability to create basic systems requirements for existing or desired business processes.
",
Yukon College,Yukon,56824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.yukonu.ca/programs/culinary-arts,Culinary Arts,Certificate,Whitehorse (Ayamdigut),One-year,"The Culinary Arts program is designed to meet the need for qualified cooks in the hospitality industry. The program provides professional cook training in a practical, hands-on learning environment achieved through our commercial kitchen.

Students will rotate through a variety of stations in the kitchen. Each station has a different culinary focus. Students will also participate in a variety of caterings, banquets and community events, all of which broaden and enhance the student experience.

Apprenticeship Level I and Level II Cooks Exam

Culinary Arts students must write and pass the Apprenticeship Level I exam early in the second term followed by the Level II Cooks exam towards the end of the second term. (Students must pass the Level I exam to be eligible to write the Level II Cooks exam.)

Students who successfully complete the program, and pass the Level I exam may be eligible for up to 1,040 hours time credit towards a Cook Apprenticeship program. This time credit is based upon the recommendation of the employer who is signatory to the initial Apprenticeship Agreement.

Students who pass the Cook Apprenticeship Level exam(s) would be exempt from attending that level of apprenticeship in-school training.",
Yukon College,Yukon,56824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.yukonu.ca/programs/early-learning-and-child-care,Early Learning and Child Care,"Diploma
                Certificate","Whitehorse (Ayamdigut), Online/Video",One-year certificate AND Two-year diploma AND Part-time option available,"The objective of the Early Learning and Child Care (ELCC) program is to meet the needs identified by the community for the educational preparation of early childhood educators. 

We provide opportunities for students to develop the knowledge, skills and abilities necessary to provide early learning opportunities and child care for young children and families.

Throughout the program, students learn to assist children in all areas of growth and development.

Theory courses for the ELCC program offer the option of either face-to-face or video/online delivery.

Certificate program

The ELCC certificate program may be pursued on a full- or part-time basis and consists of 13 courses, including English, two practicum placements and one elective for a total of 35 credits.

Diploma program

The ELCC diploma program may be pursued on a full- or part-time basis and consists of 24 courses, including English, four practicum placements and three electives for a total of 66 credits.",
Yukon College,Yukon,56824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.yukonu.ca/programs/earth-sciences,Earth Sciences,Diploma,Whitehorse (Ayamdigut),Two-year and three-year pathways,"Earth science literacy is critical to meet the needs of modern society. The study of the Earth is focused not only on the rocks and minerals that make up solid Earth but also on the interaction of these materials with other earth systems. An understanding of Earth’s evolution through time allows earth scientists to interpret present-day conditions on our planet and predict how they will change in the future; these changes will affect both human societies and the natural environment.

Earth scientists are stewards of the planet’s mineral, energy and water resources. They must also be problem solvers, as Earth’s natural resources are currently threatened by climate change, overconsumption and natural disasters. In the North, we live in a complex landscape where earth scientists must address the legacy of contaminated sites, support sustainable resource discovery and extraction, and grapple with a rapidly changing environment.

Students completing the two-year program will receive a diploma in Earth Sciences and be eligible for transfer into upper-level standing in many Canadian B.Sc. geoscience degree programs. A block transfer agreement between Yukon University and Vancouver Island University (VIU) allows Earth Science program graduates to easily transfer between institutions and directly apply all completed courses towards completion of a B.Sc. in geoscience from VIU's Department of Earth Science. 

Coursework completed at Yukon University is compatible with the educational requirements for achieving a professional geoscientist (P.Geo.) designation in the environmental geoscience or geology streams. Completion of a B.Sc. degree following the Earth Sciences program allows for upward workplace mobility in scientific and technical fields and enables graduates to continue to upper-level training in science (M.Sc., Ph.D.). 

Program pathways and duration

Students can complete the Earth Sciences diploma program with two years of full-time study. Part-time study is welcomed. Students have reduced course requirements in the summer months to allow for geoscience work experiences. Recommended course completion matrices for each year are provided below.


	Year 1
	
	Fall Semester 
			Winter Semester
			Winter Semester (late April - early May)
		CHEM 110 - The Structure of Matter 
			CHEM 111 - Chemical Energetics and Dynamics
			GEOL 107 - Geological Field Methods and Mapping I
		ENGL 100 - Academic Writing and Critical Thinking
			COMM 204 - Introduction to Scientific and Technical Communication
			 
		GEOL 105 - Physical Geology 
			GEOL 106 - Historical Geology
			 
		
			 MATH 100 - Single Variable Calculus I 
			
			MATH 101 - Single Variable Calculus II
			 
		
			Science Elective (choose 1):

			BIOL 101 - Principles of Biology I 

			GEOG 101 - Physical Geography I

			PHYS 101 - Elementary Physics I
			
			
			Science Elective (choose 1):

			BIOL 102 - Principles of Biology II 

			CPSC 128 - Object-Oriented Programming I

			GEOG 102 - Physical Geography II

			PHYS 102 - Elementary Physics II
			
			 
		Year 2
	Fall Semester
			Winter Semester
			Winter Semester (late April - early May)
		GEOL 200 - Mineralogy
			GEOG 250 - Introduction to Mapping and Geographical Information Systems (GIS)
			GEOL 216 - Geological Field Methods and Mapping II
		GEOL 206 - Sedimentology and Stratigraphy
			GEOL 211 - Geochemistry
			 
		GEOL 208 - Structural Geology
			MATH 105 - Introductory Statistics
			 
		
			Science Elective (choose 1):

			BIOL 101 - Principles of Biology I 

			GEOG 101 - Physical Geography I

			PHYS 101 - Elementary Physics I

			SOIL 210 - Introduction to Soils and Soil Resources
			
			
			Geoscience Elective (choose 1):

			GEOL 301 - Hydrogeology

			GEOL 213 - Geophysics 
			
			 
		 
			
			Science Elective (choose 1):

			BIOL 102 - Principles of Biology II 

			CPSC 128 - Object-Oriented Programming I

			GEOG 102 - Physical Geography II

			PHYS 102 - Elementary Physics II
			
			 
		 

Program learning objectives

The guiding objective of the Earth Sciences program is to provide students with a broadly applicable foundation in geoscience with extensive hands-on exposure and strong connections with industry and government.

Graduates should be well equipped to:

Explain the fundamentals of major concepts in earth science, including surface and groundwater; natural hazards; glaciers, permafrost and climate change; and mineral and hydrocarbon resources.
	 
	Explain earth processes in the context of plate tectonics and the rock cycle.
	 
	Identify the basic physical and chemical controls on the formation of minerals and rocks, and their fundamental properties.
	 
	Identify, measure, and interpret geologic structures and stratigraphy.
	 
	Explain events in geologic history using geologic evidence and place those events in the context of the geologic timescale.
	 
	Characterize geologic environments, past and present, in which rocks and other geologic materials are formed.
	 
	Apply geologic observations to interpret and solve real-world problems related to energy, water and mineral resource development.
	 
	Effectively communicate geoscience concepts and observations to their peers and the general public.
	 
	Describe indigenous perspectives on Earth evolution and geologic history (ethnogeology) and how those perspectives compare with Western scientific knowledge.
	 
	Demonstrate understanding of indigenous land claim agreements and current best practices for consultation in the context of resource development.
	 
	Safely work and collaborate in a field-based setting.
",
